[epoch0], avg train loss: 1.949521, avg accuracy: 0.297320
[epoch1], avg train loss: 1.813874, avg accuracy: 0.347600
[epoch2], avg train loss: 1.756945, avg accuracy: 0.367320
[epoch3], avg train loss: 1.716609, avg accuracy: 0.381860
[epoch4], avg train loss: 1.688036, avg accuracy: 0.390360
[epoch5], avg train loss: 1.666666, avg accuracy: 0.397000
[epoch6], avg train loss: 1.650621, avg accuracy: 0.404640
[epoch7], avg train loss: 1.637533, avg accuracy: 0.408740
[epoch8], avg train loss: 1.626840, avg accuracy: 0.411320
[epoch9], avg train loss: 1.617335, avg accuracy: 0.414480
[epoch10], avg train loss: 1.609101, avg accuracy: 0.418000
[epoch11], avg train loss: 1.601791, avg accuracy: 0.420000
[epoch12], avg train loss: 1.595230, avg accuracy: 0.423340
[epoch13], avg train loss: 1.589084, avg accuracy: 0.425580
[epoch14], avg train loss: 1.583476, avg accuracy: 0.427140
[epoch15], avg train loss: 1.578273, avg accuracy: 0.429100
[epoch16], avg train loss: 1.573212, avg accuracy: 0.430920
[epoch17], avg train loss: 1.568683, avg accuracy: 0.432640
[epoch18], avg train loss: 1.564432, avg accuracy: 0.434540
[epoch19], avg train loss: 1.560465, avg accuracy: 0.434680
[epoch20], avg train loss: 1.556509, avg accuracy: 0.436580
[epoch21], avg train loss: 1.553025, avg accuracy: 0.438100
[epoch22], avg train loss: 1.549502, avg accuracy: 0.439500
[epoch23], avg train loss: 1.546141, avg accuracy: 0.440480
[epoch24], avg train loss: 1.542690, avg accuracy: 0.442500
[epoch25], avg train loss: 1.539655, avg accuracy: 0.443260
[epoch26], avg train loss: 1.536655, avg accuracy: 0.444120
[epoch27], avg train loss: 1.533832, avg accuracy: 0.446560
[epoch28], avg train loss: 1.530952, avg accuracy: 0.446620
[epoch29], avg train loss: 1.528096, avg accuracy: 0.448600
[epoch30], avg train loss: 1.525498, avg accuracy: 0.449400
[epoch31], avg train loss: 1.522979, avg accuracy: 0.450920
[epoch32], avg train loss: 1.520429, avg accuracy: 0.451020
[epoch33], avg train loss: 1.517986, avg accuracy: 0.452460
[epoch34], avg train loss: 1.515557, avg accuracy: 0.453820
[epoch35], avg train loss: 1.513213, avg accuracy: 0.453880
[epoch36], avg train loss: 1.510838, avg accuracy: 0.454440
[epoch37], avg train loss: 1.508758, avg accuracy: 0.455980
[epoch38], avg train loss: 1.506548, avg accuracy: 0.456780
[epoch39], avg train loss: 1.504323, avg accuracy: 0.458120
[epoch40], avg train loss: 1.501979, avg accuracy: 0.457620
[epoch41], avg train loss: 1.499991, avg accuracy: 0.460120
[epoch42], avg train loss: 1.497987, avg accuracy: 0.459980
[epoch43], avg train loss: 1.495902, avg accuracy: 0.461640
[epoch44], avg train loss: 1.493931, avg accuracy: 0.461320
[epoch45], avg train loss: 1.491935, avg accuracy: 0.462560
[epoch46], avg train loss: 1.489995, avg accuracy: 0.463300
[epoch47], avg train loss: 1.488076, avg accuracy: 0.463640
[epoch48], avg train loss: 1.486099, avg accuracy: 0.465200
[epoch49], avg train loss: 1.484218, avg accuracy: 0.465400
[epoch50], avg train loss: 1.482478, avg accuracy: 0.466060
[epoch51], avg train loss: 1.480559, avg accuracy: 0.467260
[epoch52], avg train loss: 1.478908, avg accuracy: 0.467520
[epoch53], avg train loss: 1.477051, avg accuracy: 0.468120
[epoch54], avg train loss: 1.475492, avg accuracy: 0.468120
[epoch55], avg train loss: 1.473576, avg accuracy: 0.469220
[epoch56], avg train loss: 1.472030, avg accuracy: 0.470340
[epoch57], avg train loss: 1.470039, avg accuracy: 0.471200
[epoch58], avg train loss: 1.468665, avg accuracy: 0.471540
[epoch59], avg train loss: 1.466844, avg accuracy: 0.471900
[epoch60], avg train loss: 1.465146, avg accuracy: 0.473200
[epoch61], avg train loss: 1.463442, avg accuracy: 0.473960
[epoch62], avg train loss: 1.461951, avg accuracy: 0.473840
[epoch63], avg train loss: 1.460171, avg accuracy: 0.475060
[epoch64], avg train loss: 1.458466, avg accuracy: 0.475120
[epoch65], avg train loss: 1.456980, avg accuracy: 0.475940
[epoch66], avg train loss: 1.455202, avg accuracy: 0.477260
[epoch67], avg train loss: 1.453622, avg accuracy: 0.477080
