[epoch0], avg train loss: 2.304385, avg accuracy: 0.099980
[epoch1], avg train loss: 2.301014, avg accuracy: 0.105660
[epoch2], avg train loss: 2.295429, avg accuracy: 0.173920
[epoch3], avg train loss: 2.266521, avg accuracy: 0.191280
[epoch4], avg train loss: 2.130374, avg accuracy: 0.216800
[epoch5], avg train loss: 2.026113, avg accuracy: 0.256840
[epoch6], avg train loss: 1.966026, avg accuracy: 0.279560
[epoch7], avg train loss: 1.899051, avg accuracy: 0.305260
[epoch8], avg train loss: 1.817220, avg accuracy: 0.336440
[epoch9], avg train loss: 1.720688, avg accuracy: 0.372060
[epoch10], avg train loss: 1.646984, avg accuracy: 0.396280
[epoch11], avg train loss: 1.599340, avg accuracy: 0.411900
[epoch12], avg train loss: 1.563162, avg accuracy: 0.429640
[epoch13], avg train loss: 1.533113, avg accuracy: 0.442120
[epoch14], avg train loss: 1.504014, avg accuracy: 0.453840
[epoch15], avg train loss: 1.477377, avg accuracy: 0.465760
[epoch16], avg train loss: 1.451604, avg accuracy: 0.477360
[epoch17], avg train loss: 1.427393, avg accuracy: 0.485940
[epoch18], avg train loss: 1.406120, avg accuracy: 0.494480
[epoch19], avg train loss: 1.385241, avg accuracy: 0.502300
[epoch20], avg train loss: 1.366699, avg accuracy: 0.509520
[epoch21], avg train loss: 1.349784, avg accuracy: 0.516080
[epoch22], avg train loss: 1.333751, avg accuracy: 0.523620
[epoch23], avg train loss: 1.318065, avg accuracy: 0.527340
[epoch24], avg train loss: 1.303810, avg accuracy: 0.536000
[epoch25], avg train loss: 1.288387, avg accuracy: 0.539720
[epoch26], avg train loss: 1.275063, avg accuracy: 0.545520
[epoch27], avg train loss: 1.260225, avg accuracy: 0.550140
[epoch28], avg train loss: 1.247075, avg accuracy: 0.556060
[epoch29], avg train loss: 1.234063, avg accuracy: 0.560220
[epoch30], avg train loss: 1.221840, avg accuracy: 0.565340
[epoch31], avg train loss: 1.209875, avg accuracy: 0.568500
[epoch32], avg train loss: 1.197086, avg accuracy: 0.576380
[epoch33], avg train loss: 1.185878, avg accuracy: 0.578660
[epoch34], avg train loss: 1.173498, avg accuracy: 0.583300
[epoch35], avg train loss: 1.161699, avg accuracy: 0.589140
[epoch36], avg train loss: 1.150869, avg accuracy: 0.592480
[epoch37], avg train loss: 1.140246, avg accuracy: 0.596620
[epoch38], avg train loss: 1.129767, avg accuracy: 0.601760
[epoch39], avg train loss: 1.118396, avg accuracy: 0.604300
[epoch40], avg train loss: 1.109546, avg accuracy: 0.606280
[epoch41], avg train loss: 1.098558, avg accuracy: 0.611240
[epoch42], avg train loss: 1.088856, avg accuracy: 0.616020
[epoch43], avg train loss: 1.078798, avg accuracy: 0.618680
[epoch44], avg train loss: 1.070117, avg accuracy: 0.623540
[epoch45], avg train loss: 1.058990, avg accuracy: 0.627020
[epoch46], avg train loss: 1.052256, avg accuracy: 0.627820
[epoch47], avg train loss: 1.042575, avg accuracy: 0.632320
[epoch48], avg train loss: 1.034516, avg accuracy: 0.635820
[epoch49], avg train loss: 1.026249, avg accuracy: 0.639300
[epoch50], avg train loss: 1.017735, avg accuracy: 0.642360
[epoch51], avg train loss: 1.009575, avg accuracy: 0.644980
[epoch52], avg train loss: 1.001621, avg accuracy: 0.649320
[epoch53], avg train loss: 0.993899, avg accuracy: 0.650300
[epoch54], avg train loss: 0.987239, avg accuracy: 0.654840
[epoch55], avg train loss: 0.978705, avg accuracy: 0.654460
[epoch56], avg train loss: 0.971742, avg accuracy: 0.659000
[epoch57], avg train loss: 0.964170, avg accuracy: 0.661320
[epoch58], avg train loss: 0.956339, avg accuracy: 0.664580
[epoch59], avg train loss: 0.948328, avg accuracy: 0.667140
[epoch60], avg train loss: 0.942536, avg accuracy: 0.668620
[epoch61], avg train loss: 0.935082, avg accuracy: 0.672440
[epoch62], avg train loss: 0.928262, avg accuracy: 0.672760
[epoch63], avg train loss: 0.920747, avg accuracy: 0.675700
[epoch64], avg train loss: 0.914503, avg accuracy: 0.679020
[epoch65], avg train loss: 0.906793, avg accuracy: 0.683760
[epoch66], avg train loss: 0.899927, avg accuracy: 0.684640
[epoch67], avg train loss: 0.893289, avg accuracy: 0.687700
[epoch68], avg train loss: 0.886581, avg accuracy: 0.689720
[epoch69], avg train loss: 0.879802, avg accuracy: 0.691880
[epoch70], avg train loss: 0.873257, avg accuracy: 0.694700
[epoch71], avg train loss: 0.866783, avg accuracy: 0.695180
[epoch72], avg train loss: 0.861088, avg accuracy: 0.698340
[epoch73], avg train loss: 0.853617, avg accuracy: 0.700560
[epoch74], avg train loss: 0.847915, avg accuracy: 0.704580
[epoch75], avg train loss: 0.841151, avg accuracy: 0.706520
[epoch76], avg train loss: 0.834048, avg accuracy: 0.709400
[epoch77], avg train loss: 0.827598, avg accuracy: 0.711600
[epoch78], avg train loss: 0.821288, avg accuracy: 0.713500
[epoch79], avg train loss: 0.814543, avg accuracy: 0.716040
[epoch80], avg train loss: 0.808962, avg accuracy: 0.716340
[epoch81], avg train loss: 0.803736, avg accuracy: 0.718660
[epoch82], avg train loss: 0.796279, avg accuracy: 0.721820
[epoch83], avg train loss: 0.789438, avg accuracy: 0.724820
[epoch84], avg train loss: 0.784959, avg accuracy: 0.726900
[epoch85], avg train loss: 0.778902, avg accuracy: 0.727100
[epoch86], avg train loss: 0.772044, avg accuracy: 0.730600
[epoch87], avg train loss: 0.766926, avg accuracy: 0.732840
[epoch88], avg train loss: 0.760733, avg accuracy: 0.734500
[epoch89], avg train loss: 0.755210, avg accuracy: 0.735540
[epoch90], avg train loss: 0.749477, avg accuracy: 0.738680
[epoch91], avg train loss: 0.744950, avg accuracy: 0.738820
[epoch92], avg train loss: 0.737802, avg accuracy: 0.742260
[epoch93], avg train loss: 0.732027, avg accuracy: 0.744080
[epoch94], avg train loss: 0.726959, avg accuracy: 0.744860
[epoch95], avg train loss: 0.720156, avg accuracy: 0.747680
[epoch96], avg train loss: 0.715765, avg accuracy: 0.748660
[epoch97], avg train loss: 0.710640, avg accuracy: 0.751540
[epoch98], avg train loss: 0.705031, avg accuracy: 0.753700
[epoch99], avg train loss: 0.698893, avg accuracy: 0.755740
