[epoch0], avg train loss: 2.064532, avg accuracy: 0.227680
[epoch1], avg train loss: 1.557545, avg accuracy: 0.428800
[epoch2], avg train loss: 1.394026, avg accuracy: 0.492120
[epoch3], avg train loss: 1.287611, avg accuracy: 0.538020
[epoch4], avg train loss: 1.198621, avg accuracy: 0.574180
[epoch5], avg train loss: 1.130280, avg accuracy: 0.601160
[epoch6], avg train loss: 1.073701, avg accuracy: 0.621700
[epoch7], avg train loss: 1.027590, avg accuracy: 0.639240
[epoch8], avg train loss: 0.977386, avg accuracy: 0.657020
[epoch9], avg train loss: 0.935697, avg accuracy: 0.670800
[epoch10], avg train loss: 0.895714, avg accuracy: 0.684140
[epoch11], avg train loss: 0.861954, avg accuracy: 0.697620
[epoch12], avg train loss: 0.833496, avg accuracy: 0.707940
[epoch13], avg train loss: 0.799313, avg accuracy: 0.718620
[epoch14], avg train loss: 0.772525, avg accuracy: 0.729380
[epoch15], avg train loss: 0.745332, avg accuracy: 0.737900
[epoch16], avg train loss: 0.720555, avg accuracy: 0.746660
[epoch17], avg train loss: 0.696809, avg accuracy: 0.753540
[epoch18], avg train loss: 0.672749, avg accuracy: 0.760240
[epoch19], avg train loss: 0.647408, avg accuracy: 0.769720
[epoch20], avg train loss: 0.627751, avg accuracy: 0.777000
[epoch21], avg train loss: 0.608331, avg accuracy: 0.783300
[epoch22], avg train loss: 0.588619, avg accuracy: 0.789380
[epoch23], avg train loss: 0.568467, avg accuracy: 0.796360
[epoch24], avg train loss: 0.547532, avg accuracy: 0.803660
[epoch25], avg train loss: 0.531110, avg accuracy: 0.809240
[epoch26], avg train loss: 0.512691, avg accuracy: 0.814540
[epoch27], avg train loss: 0.497266, avg accuracy: 0.821860
[epoch28], avg train loss: 0.481471, avg accuracy: 0.824880
[epoch29], avg train loss: 0.469143, avg accuracy: 0.830240
[epoch30], avg train loss: 0.449315, avg accuracy: 0.837080
[epoch31], avg train loss: 0.441461, avg accuracy: 0.839220
[epoch32], avg train loss: 0.422246, avg accuracy: 0.847380
[epoch33], avg train loss: 0.419443, avg accuracy: 0.849680
[epoch34], avg train loss: 0.404138, avg accuracy: 0.853320
[epoch35], avg train loss: 0.389195, avg accuracy: 0.859060
[epoch36], avg train loss: 0.379776, avg accuracy: 0.861360
[epoch37], avg train loss: 0.371718, avg accuracy: 0.863740
[epoch38], avg train loss: 0.367760, avg accuracy: 0.866100
[epoch39], avg train loss: 0.348674, avg accuracy: 0.873880
[epoch40], avg train loss: 0.340579, avg accuracy: 0.876480
[epoch41], avg train loss: 0.340536, avg accuracy: 0.875600
[epoch42], avg train loss: 0.333123, avg accuracy: 0.877960
[epoch43], avg train loss: 0.323556, avg accuracy: 0.882160
[epoch44], avg train loss: 0.317928, avg accuracy: 0.884880
[epoch45], avg train loss: 0.307949, avg accuracy: 0.887320
[epoch46], avg train loss: 0.299239, avg accuracy: 0.890860
[epoch47], avg train loss: 0.292595, avg accuracy: 0.893960
[epoch48], avg train loss: 0.283039, avg accuracy: 0.896720
[epoch49], avg train loss: 0.291616, avg accuracy: 0.895120
[epoch50], avg train loss: 0.278612, avg accuracy: 0.898500
[epoch51], avg train loss: 0.281797, avg accuracy: 0.898320
[epoch52], avg train loss: 0.282263, avg accuracy: 0.897860
[epoch53], avg train loss: 0.265164, avg accuracy: 0.904260
[epoch54], avg train loss: 0.259436, avg accuracy: 0.905720
[epoch55], avg train loss: 0.252980, avg accuracy: 0.908660
[epoch56], avg train loss: 0.253253, avg accuracy: 0.908840
[epoch57], avg train loss: 0.247497, avg accuracy: 0.910860
[epoch58], avg train loss: 0.260435, avg accuracy: 0.907440
[epoch59], avg train loss: 0.239967, avg accuracy: 0.913620
[epoch60], avg train loss: 0.238675, avg accuracy: 0.913340
[epoch61], avg train loss: 0.242801, avg accuracy: 0.913920
[epoch62], avg train loss: 0.240009, avg accuracy: 0.913600
[epoch63], avg train loss: 0.228100, avg accuracy: 0.918620
[epoch64], avg train loss: 0.224266, avg accuracy: 0.919960
[epoch65], avg train loss: 0.230767, avg accuracy: 0.919100
[epoch66], avg train loss: 0.225335, avg accuracy: 0.919400
[epoch67], avg train loss: 0.223053, avg accuracy: 0.921700
[epoch68], avg train loss: 0.217799, avg accuracy: 0.922060
[epoch69], avg train loss: 0.225230, avg accuracy: 0.921440
[epoch70], avg train loss: 0.206931, avg accuracy: 0.925300
[epoch71], avg train loss: 0.214321, avg accuracy: 0.923260
[epoch72], avg train loss: 0.232237, avg accuracy: 0.918120
[epoch73], avg train loss: 0.208589, avg accuracy: 0.927980
[epoch74], avg train loss: 0.201914, avg accuracy: 0.928460
[epoch75], avg train loss: 0.222028, avg accuracy: 0.923380
